,Country code,Country,Reference sector,Employment type,Education level,Year,Value
4749,NZL,New Zealand,Public educational institutions,Part-time,Short-cycle tertiary education,2014,19817.538
4750,NZL,New Zealand,Public educational institutions,Part-time,Short-cycle tertiary education,2015,20710.723
4751,NZL,New Zealand,Public educational institutions,Part-time,Short-cycle tertiary education,2016,19425.599
4752,NZL,New Zealand,Public educational institutions,Part-time,Short-cycle tertiary education,2017,18304.401
4753,NZL,New Zealand,Public educational institutions,Part-time,Short-cycle tertiary education,2018,17569.191
4754,NZL,New Zealand,Public educational institutions,Part-time,Short-cycle tertiary education,2019,16552.935
4755,NZL,New Zealand,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2013,13919.755
4756,NZL,New Zealand,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2014,14250.628
4757,NZL,New Zealand,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2015,14094.999
4758,NZL,New Zealand,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2016,13559.159
4759,NZL,New Zealand,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2017,12674.53
4760,NZL,New Zealand,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2018,11118.493
4761,NZL,New Zealand,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2019,8751.351
4762,NZL,New Zealand,Independent private educational institutions,Part-time,Short-cycle tertiary education,2013,251.0
4763,NZL,New Zealand,Independent private educational institutions,Part-time,Short-cycle tertiary education,2014,245.0
4764,NZL,New Zealand,Independent private educational institutions,Part-time,Short-cycle tertiary education,2015,293.0
4765,NZL,New Zealand,Independent private educational institutions,Part-time,Short-cycle tertiary education,2016,298.505
4766,NZL,New Zealand,Independent private educational institutions,Part-time,Short-cycle tertiary education,2017,312.0
4767,NZL,New Zealand,Independent private educational institutions,Part-time,Short-cycle tertiary education,2018,300.0
4768,NZL,New Zealand,Independent private educational institutions,Part-time,Short-cycle tertiary education,2019,0.0
4790,NZL,New Zealand,Public educational institutions,Full-time,Bachelor’s or equivalent level,2013,108858.471
4791,NZL,New Zealand,Public educational institutions,Full-time,Bachelor’s or equivalent level,2014,107911.352
4792,NZL,New Zealand,Public educational institutions,Full-time,Bachelor’s or equivalent level,2015,106774.37
4793,NZL,New Zealand,Public educational institutions,Full-time,Bachelor’s or equivalent level,2016,107618.037
4794,NZL,New Zealand,Public educational institutions,Full-time,Bachelor’s or equivalent level,2017,106325.902
4795,NZL,New Zealand,Public educational institutions,Full-time,Bachelor’s or equivalent level,2018,107681.156
4796,NZL,New Zealand,Public educational institutions,Full-time,Bachelor’s or equivalent level,2019,107919.851
4797,NZL,New Zealand,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2013,3171.163
4798,NZL,New Zealand,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2014,3376.892
4799,NZL,New Zealand,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2015,3775.349
4800,NZL,New Zealand,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2016,3854.845
4801,NZL,New Zealand,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2017,3846.354
4802,NZL,New Zealand,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2018,3841.25
4803,NZL,New Zealand,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2019,4351.484
4804,NZL,New Zealand,Independent private educational institutions,Full-time,Bachelor’s or equivalent level,2013,680.0
4805,NZL,New Zealand,Independent private educational institutions,Full-time,Bachelor’s or equivalent level,2014,1680.0
4806,NZL,New Zealand,Independent private educational institutions,Full-time,Bachelor’s or equivalent level,2015,3414.0
4807,NZL,New Zealand,Independent private educational institutions,Full-time,Bachelor’s or equivalent level,2016,3643.629
4808,NZL,New Zealand,Independent private educational institutions,Full-time,Bachelor’s or equivalent level,2017,3832.0
4809,NZL,New Zealand,Independent private educational institutions,Full-time,Bachelor’s or equivalent level,2018,3950.0
4810,NZL,New Zealand,Independent private educational institutions,Full-time,Bachelor’s or equivalent level,2019,0.0
4811,NZL,New Zealand,Public educational institutions,Part-time,Bachelor’s or equivalent level,2013,62299.649
4812,NZL,New Zealand,Public educational institutions,Part-time,Bachelor’s or equivalent level,2014,63044.17
4813,NZL,New Zealand,Public educational institutions,Part-time,Bachelor’s or equivalent level,2015,66574.785
4814,NZL,New Zealand,Public educational institutions,Part-time,Bachelor’s or equivalent level,2016,67223.243
4815,NZL,New Zealand,Public educational institutions,Part-time,Bachelor’s or equivalent level,2017,69161.042
4816,NZL,New Zealand,Public educational institutions,Part-time,Bachelor’s or equivalent level,2018,68077.344
4817,NZL,New Zealand,Public educational institutions,Part-time,Bachelor’s or equivalent level,2019,66218.22
4818,NZL,New Zealand,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2013,3604.547
4819,NZL,New Zealand,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2014,3866.956
4820,NZL,New Zealand,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2015,4274.452
4821,NZL,New Zealand,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2016,4314.693
4822,NZL,New Zealand,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2017,3419.119
4823,NZL,New Zealand,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2018,3978.239
4824,NZL,New Zealand,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2019,4435.197
4825,NZL,New Zealand,Independent private educational institutions,Part-time,Bachelor’s or equivalent level,2013,22.0
4826,NZL,New Zealand,Independent private educational institutions,Part-time,Bachelor’s or equivalent level,2014,41.0
4827,NZL,New Zealand,Independent private educational institutions,Part-time,Bachelor’s or equivalent level,2015,27.0
4828,NZL,New Zealand,Independent private educational institutions,Part-time,Bachelor’s or equivalent level,2016,28.816
4829,NZL,New Zealand,Independent private educational institutions,Part-time,Bachelor’s or equivalent level,2017,35.0
4830,NZL,New Zealand,Independent private educational institutions,Part-time,Bachelor’s or equivalent level,2018,50.0
4831,NZL,New Zealand,Independent private educational institutions,Part-time,Bachelor’s or equivalent level,2019,12.98
4853,NZL,New Zealand,Public educational institutions,Full-time,Master’s or equivalent level,2013,4800.365
4854,NZL,New Zealand,Public educational institutions,Full-time,Master’s or equivalent level,2014,5279.455
4855,NZL,New Zealand,Public educational institutions,Full-time,Master’s or equivalent level,2015,5599.861
4856,NZL,New Zealand,Public educational institutions,Full-time,Master’s or equivalent level,2016,6124.671
4857,NZL,New Zealand,Public educational institutions,Full-time,Master’s or equivalent level,2017,6342.377
4858,NZL,New Zealand,Public educational institutions,Full-time,Master’s or equivalent level,2018,6950.475
4859,NZL,New Zealand,Public educational institutions,Full-time,Master’s or equivalent level,2019,7433.311
4860,NZL,New Zealand,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2013,146.413
4861,NZL,New Zealand,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2014,126.095
4862,NZL,New Zealand,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2015,142.313
4863,NZL,New Zealand,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2016,135.846
4864,NZL,New Zealand,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2017,106.498
4865,NZL,New Zealand,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2018,149.896
4866,NZL,New Zealand,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2019,271.316
4867,NZL,New Zealand,Independent private educational institutions,Full-time,Master’s or equivalent level,2013,0.0
4868,NZL,New Zealand,Independent private educational institutions,Full-time,Master’s or equivalent level,2014,0.0
4869,NZL,New Zealand,Independent private educational institutions,Full-time,Master’s or equivalent level,2015,0.0
4870,NZL,New Zealand,Independent private educational institutions,Full-time,Master’s or equivalent level,2016,0.0
4871,NZL,New Zealand,Independent private educational institutions,Full-time,Master’s or equivalent level,2017,0.0
4872,NZL,New Zealand,Independent private educational institutions,Full-time,Master’s or equivalent level,2018,0.0
4873,NZL,New Zealand,Independent private educational institutions,Full-time,Master’s or equivalent level,2019,0.0
4874,NZL,New Zealand,Public educational institutions,Part-time,Master’s or equivalent level,2013,8584.295
4875,NZL,New Zealand,Public educational institutions,Part-time,Master’s or equivalent level,2014,9297.323
4876,NZL,New Zealand,Public educational institutions,Part-time,Master’s or equivalent level,2015,10073.638
4877,NZL,New Zealand,Public educational institutions,Part-time,Master’s or equivalent level,2016,10189.011
4878,NZL,New Zealand,Public educational institutions,Part-time,Master’s or equivalent level,2017,10939.196
4879,NZL,New Zealand,Public educational institutions,Part-time,Master’s or equivalent level,2018,11747.648
4880,NZL,New Zealand,Public educational institutions,Part-time,Master’s or equivalent level,2019,12620.387
4881,NZL,New Zealand,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2013,244.607
4882,NZL,New Zealand,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2014,299.039
4883,NZL,New Zealand,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2015,306.511
4884,NZL,New Zealand,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2016,292.239
4885,NZL,New Zealand,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2017,241.335
4886,NZL,New Zealand,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2018,373.008
4887,NZL,New Zealand,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2019,659.479
4888,NZL,New Zealand,Independent private educational institutions,Part-time,Master’s or equivalent level,2013,0.0
4889,NZL,New Zealand,Independent private educational institutions,Part-time,Master’s or equivalent level,2014,0.0
4890,NZL,New Zealand,Independent private educational institutions,Part-time,Master’s or equivalent level,2015,0.0
4891,NZL,New Zealand,Independent private educational institutions,Part-time,Master’s or equivalent level,2016,0.0
4892,NZL,New Zealand,Independent private educational institutions,Part-time,Master’s or equivalent level,2017,0.0
4893,NZL,New Zealand,Independent private educational institutions,Part-time,Master’s or equivalent level,2018,0.0
4894,NZL,New Zealand,Independent private educational institutions,Part-time,Master’s or equivalent level,2019,0.786
4916,NZL,New Zealand,Public educational institutions,Full-time,Doctoral or equivalent level,2013,5101.438
4917,NZL,New Zealand,Public educational institutions,Full-time,Doctoral or equivalent level,2014,5290.669
4918,NZL,New Zealand,Public educational institutions,Full-time,Doctoral or equivalent level,2015,5482.016
4919,NZL,New Zealand,Public educational institutions,Full-time,Doctoral or equivalent level,2016,5684.443
4920,NZL,New Zealand,Public educational institutions,Full-time,Doctoral or equivalent level,2017,5568.857
4921,NZL,New Zealand,Public educational institutions,Full-time,Doctoral or equivalent level,2018,5706.383
4922,NZL,New Zealand,Public educational institutions,Full-time,Doctoral or equivalent level,2019,5836.475
4923,NZL,New Zealand,Government dependent private educational institutions,Full-time,Doctoral or equivalent level,2013,0.0
4924,NZL,New Zealand,Government dependent private educational institutions,Full-time,Doctoral or equivalent level,2014,0.0
4925,NZL,New Zealand,Government dependent private educational institutions,Full-time,Doctoral or equivalent level,2015,0.0
4926,NZL,New Zealand,Government dependent private educational institutions,Full-time,Doctoral or equivalent level,2016,0.0
4927,NZL,New Zealand,Government dependent private educational institutions,Full-time,Doctoral or equivalent level,2017,0.0
4928,NZL,New Zealand,Government dependent private educational institutions,Full-time,Doctoral or equivalent level,2018,0.0
4929,NZL,New Zealand,Government dependent private educational institutions,Full-time,Doctoral or equivalent level,2019,0.0
4930,NZL,New Zealand,Independent private educational institutions,Full-time,Doctoral or equivalent level,2013,0.0
4931,NZL,New Zealand,Independent private educational institutions,Full-time,Doctoral or equivalent level,2014,0.0
4932,NZL,New Zealand,Independent private educational institutions,Full-time,Doctoral or equivalent level,2015,0.0
4933,NZL,New Zealand,Independent private educational institutions,Full-time,Doctoral or equivalent level,2016,0.0
4934,NZL,New Zealand,Independent private educational institutions,Full-time,Doctoral or equivalent level,2017,0.0
4935,NZL,New Zealand,Independent private educational institutions,Full-time,Doctoral or equivalent level,2018,0.0
4936,NZL,New Zealand,Independent private educational institutions,Full-time,Doctoral or equivalent level,2019,0.0
4937,NZL,New Zealand,Public educational institutions,Part-time,Doctoral or equivalent level,2013,3356.129
4938,NZL,New Zealand,Public educational institutions,Part-time,Doctoral or equivalent level,2014,3373.364
4939,NZL,New Zealand,Public educational institutions,Part-time,Doctoral or equivalent level,2015,3341.752
4940,NZL,New Zealand,Public educational institutions,Part-time,Doctoral or equivalent level,2016,3642.84
4941,NZL,New Zealand,Public educational institutions,Part-time,Doctoral or equivalent level,2017,4166.319
4942,NZL,New Zealand,Public educational institutions,Part-time,Doctoral or equivalent level,2018,4147.444
4943,NZL,New Zealand,Public educational institutions,Part-time,Doctoral or equivalent level,2019,4199.136
4944,NZL,New Zealand,Government dependent private educational institutions,Part-time,Doctoral or equivalent level,2013,0.0
4945,NZL,New Zealand,Government dependent private educational institutions,Part-time,Doctoral or equivalent level,2014,0.0
4946,NZL,New Zealand,Government dependent private educational institutions,Part-time,Doctoral or equivalent level,2015,0.0
4947,NZL,New Zealand,Government dependent private educational institutions,Part-time,Doctoral or equivalent level,2016,0.0
4948,NZL,New Zealand,Government dependent private educational institutions,Part-time,Doctoral or equivalent level,2017,0.0
4949,NZL,New Zealand,Government dependent private educational institutions,Part-time,Doctoral or equivalent level,2018,0.0
4950,NZL,New Zealand,Government dependent private educational institutions,Part-time,Doctoral or equivalent level,2019,0.0
4951,NZL,New Zealand,Independent private educational institutions,Part-time,Doctoral or equivalent level,2013,0.0
4952,NZL,New Zealand,Independent private educational institutions,Part-time,Doctoral or equivalent level,2014,0.0
4953,NZL,New Zealand,Independent private educational institutions,Part-time,Doctoral or equivalent level,2015,0.0
4954,NZL,New Zealand,Independent private educational institutions,Part-time,Doctoral or equivalent level,2016,0.0
4955,NZL,New Zealand,Independent private educational institutions,Part-time,Doctoral or equivalent level,2017,0.0
4956,NZL,New Zealand,Independent private educational institutions,Part-time,Doctoral or equivalent level,2018,0.0
4957,NZL,New Zealand,Independent private educational institutions,Part-time,Doctoral or equivalent level,2019,0.0
4979,NOR,Norway,Public educational institutions,Full-time,Short-cycle tertiary education,2013,2816.0
4980,NOR,Norway,Public educational institutions,Full-time,Short-cycle tertiary education,2014,3077.0
4981,NOR,Norway,Public educational institutions,Full-time,Short-cycle tertiary education,2015,3103.0
4982,NOR,Norway,Public educational institutions,Full-time,Short-cycle tertiary education,2016,2834.0
4983,NOR,Norway,Public educational institutions,Full-time,Short-cycle tertiary education,2017,2698.0
4984,NOR,Norway,Public educational institutions,Full-time,Short-cycle tertiary education,2018,2733.0
4985,NOR,Norway,Public educational institutions,Full-time,Short-cycle tertiary education,2019,2264.0
4986,NOR,Norway,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2013,3044.0
4987,NOR,Norway,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2014,2697.0
4988,NOR,Norway,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2015,2370.0
4989,NOR,Norway,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2016,2124.0
4990,NOR,Norway,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2017,2215.0
4991,NOR,Norway,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2018,2265.0
4992,NOR,Norway,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2019,2337.0
4993,NOR,Norway,Independent private educational institutions,Full-time,Short-cycle tertiary education,2013,0.0
5000,NOR,Norway,Public educational institutions,Part-time,Short-cycle tertiary education,2013,3014.0
5001,NOR,Norway,Public educational institutions,Part-time,Short-cycle tertiary education,2014,2848.0
5002,NOR,Norway,Public educational institutions,Part-time,Short-cycle tertiary education,2015,3231.0
5003,NOR,Norway,Public educational institutions,Part-time,Short-cycle tertiary education,2016,3412.0
5004,NOR,Norway,Public educational institutions,Part-time,Short-cycle tertiary education,2017,3265.0
5005,NOR,Norway,Public educational institutions,Part-time,Short-cycle tertiary education,2018,3438.0
5006,NOR,Norway,Public educational institutions,Part-time,Short-cycle tertiary education,2019,3701.0
5007,NOR,Norway,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2013,909.0
5008,NOR,Norway,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2014,1136.0
5009,NOR,Norway,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2015,1132.0
5010,NOR,Norway,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2016,642.0
5011,NOR,Norway,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2017,228.0
5012,NOR,Norway,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2018,179.0
5013,NOR,Norway,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2019,748.0
5014,NOR,Norway,Independent private educational institutions,Part-time,Short-cycle tertiary education,2013,0.0
5042,NOR,Norway,Public educational institutions,Full-time,Bachelor’s or equivalent level,2013,91828.0
5043,NOR,Norway,Public educational institutions,Full-time,Bachelor’s or equivalent level,2014,96424.0
5044,NOR,Norway,Public educational institutions,Full-time,Bachelor’s or equivalent level,2015,101271.0
5045,NOR,Norway,Public educational institutions,Full-time,Bachelor’s or equivalent level,2016,102115.0
5046,NOR,Norway,Public educational institutions,Full-time,Bachelor’s or equivalent level,2017,104710.0
5047,NOR,Norway,Public educational institutions,Full-time,Bachelor’s or equivalent level,2018,101175.0
5048,NOR,Norway,Public educational institutions,Full-time,Bachelor’s or equivalent level,2019,97778.0
5049,NOR,Norway,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2013,6965.0
5050,NOR,Norway,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2014,6587.0
5051,NOR,Norway,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2015,7771.0
5052,NOR,Norway,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2016,9110.0
5053,NOR,Norway,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2017,7478.0
5054,NOR,Norway,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2018,8054.0
5055,NOR,Norway,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2019,8480.0
5056,NOR,Norway,Independent private educational institutions,Full-time,Bachelor’s or equivalent level,2013,15324.0
5057,NOR,Norway,Independent private educational institutions,Full-time,Bachelor’s or equivalent level,2014,14637.0
5058,NOR,Norway,Independent private educational institutions,Full-time,Bachelor’s or equivalent level,2015,14224.0
5059,NOR,Norway,Independent private educational institutions,Full-time,Bachelor’s or equivalent level,2016,15029.0
5060,NOR,Norway,Independent private educational institutions,Full-time,Bachelor’s or equivalent level,2017,18169.0
5061,NOR,Norway,Independent private educational institutions,Full-time,Bachelor’s or equivalent level,2018,17740.0
5062,NOR,Norway,Independent private educational institutions,Full-time,Bachelor’s or equivalent level,2019,16990.0
5063,NOR,Norway,Public educational institutions,Part-time,Bachelor’s or equivalent level,2013,54993.0
5064,NOR,Norway,Public educational institutions,Part-time,Bachelor’s or equivalent level,2014,57665.0
5065,NOR,Norway,Public educational institutions,Part-time,Bachelor’s or equivalent level,2015,55642.0
5066,NOR,Norway,Public educational institutions,Part-time,Bachelor’s or equivalent level,2016,60326.0
5067,NOR,Norway,Public educational institutions,Part-time,Bachelor’s or equivalent level,2017,59380.0
5068,NOR,Norway,Public educational institutions,Part-time,Bachelor’s or equivalent level,2018,61233.0
5069,NOR,Norway,Public educational institutions,Part-time,Bachelor’s or equivalent level,2019,60692.0
5070,NOR,Norway,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2013,6638.0
5071,NOR,Norway,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2014,4697.0
5072,NOR,Norway,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2015,4449.0
5073,NOR,Norway,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2016,4052.0
5074,NOR,Norway,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2017,3835.0
5075,NOR,Norway,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2018,3768.0
5076,NOR,Norway,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2019,3972.0
5077,NOR,Norway,Independent private educational institutions,Part-time,Bachelor’s or equivalent level,2013,6189.0
5078,NOR,Norway,Independent private educational institutions,Part-time,Bachelor’s or equivalent level,2014,6961.0
5079,NOR,Norway,Independent private educational institutions,Part-time,Bachelor’s or equivalent level,2015,5466.0
5080,NOR,Norway,Independent private educational institutions,Part-time,Bachelor’s or equivalent level,2016,5462.0
5081,NOR,Norway,Independent private educational institutions,Part-time,Bachelor’s or equivalent level,2017,6926.0
5082,NOR,Norway,Independent private educational institutions,Part-time,Bachelor’s or equivalent level,2018,7253.0
5083,NOR,Norway,Independent private educational institutions,Part-time,Bachelor’s or equivalent level,2019,7521.0
5105,NOR,Norway,Public educational institutions,Full-time,Master’s or equivalent level,2013,38088.0
5106,NOR,Norway,Public educational institutions,Full-time,Master’s or equivalent level,2014,39883.0
5107,NOR,Norway,Public educational institutions,Full-time,Master’s or equivalent level,2015,41208.0
5108,NOR,Norway,Public educational institutions,Full-time,Master’s or equivalent level,2016,42369.0
5109,NOR,Norway,Public educational institutions,Full-time,Master’s or equivalent level,2017,44865.0
5110,NOR,Norway,Public educational institutions,Full-time,Master’s or equivalent level,2018,47511.0
5111,NOR,Norway,Public educational institutions,Full-time,Master’s or equivalent level,2019,50854.0
5112,NOR,Norway,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2013,547.0
5113,NOR,Norway,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2014,484.0
5114,NOR,Norway,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2015,622.0
5115,NOR,Norway,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2016,719.0
5116,NOR,Norway,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2017,751.0
5117,NOR,Norway,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2018,889.0
5118,NOR,Norway,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2019,1066.0
5119,NOR,Norway,Independent private educational institutions,Full-time,Master’s or equivalent level,2013,1608.0
5120,NOR,Norway,Independent private educational institutions,Full-time,Master’s or equivalent level,2014,2526.0
5121,NOR,Norway,Independent private educational institutions,Full-time,Master’s or equivalent level,2015,2250.0
5122,NOR,Norway,Independent private educational institutions,Full-time,Master’s or equivalent level,2016,2321.0
5123,NOR,Norway,Independent private educational institutions,Full-time,Master’s or equivalent level,2017,2385.0
5124,NOR,Norway,Independent private educational institutions,Full-time,Master’s or equivalent level,2018,2186.0
5125,NOR,Norway,Independent private educational institutions,Full-time,Master’s or equivalent level,2019,2370.0
5126,NOR,Norway,Public educational institutions,Part-time,Master’s or equivalent level,2013,15206.0
5127,NOR,Norway,Public educational institutions,Part-time,Master’s or equivalent level,2014,15950.0
5128,NOR,Norway,Public educational institutions,Part-time,Master’s or equivalent level,2015,16836.0
5129,NOR,Norway,Public educational institutions,Part-time,Master’s or equivalent level,2016,17938.0
5130,NOR,Norway,Public educational institutions,Part-time,Master’s or equivalent level,2017,17720.0
5131,NOR,Norway,Public educational institutions,Part-time,Master’s or equivalent level,2018,19801.0
5132,NOR,Norway,Public educational institutions,Part-time,Master’s or equivalent level,2019,20604.0
5133,NOR,Norway,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2013,756.0
5134,NOR,Norway,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2014,898.0
5135,NOR,Norway,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2015,875.0
5136,NOR,Norway,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2016,889.0
5137,NOR,Norway,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2017,934.0
5138,NOR,Norway,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2018,1061.0
5139,NOR,Norway,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2019,1032.0
5140,NOR,Norway,Independent private educational institutions,Part-time,Master’s or equivalent level,2013,84.0
5141,NOR,Norway,Independent private educational institutions,Part-time,Master’s or equivalent level,2014,410.0
5142,NOR,Norway,Independent private educational institutions,Part-time,Master’s or equivalent level,2015,318.0
5143,NOR,Norway,Independent private educational institutions,Part-time,Master’s or equivalent level,2016,320.0
5144,NOR,Norway,Independent private educational institutions,Part-time,Master’s or equivalent level,2017,302.0
5145,NOR,Norway,Independent private educational institutions,Part-time,Master’s or equivalent level,2018,956.0
5146,NOR,Norway,Independent private educational institutions,Part-time,Master’s or equivalent level,2019,649.0
5168,NOR,Norway,Public educational institutions,Full-time,Doctoral or equivalent level,2013,47.0
5169,NOR,Norway,Public educational institutions,Full-time,Doctoral or equivalent level,2014,7.0
5170,NOR,Norway,Public educational institutions,Full-time,Doctoral or equivalent level,2015,16.0
5171,NOR,Norway,Public educational institutions,Full-time,Doctoral or equivalent level,2016,9.0
5172,NOR,Norway,Public educational institutions,Full-time,Doctoral or equivalent level,2017,9.0
5173,NOR,Norway,Public educational institutions,Full-time,Doctoral or equivalent level,2018,20.0
5174,NOR,Norway,Public educational institutions,Full-time,Doctoral or equivalent level,2019,14.0
5175,NOR,Norway,Government dependent private educational institutions,Full-time,Doctoral or equivalent level,2013,0.0
5176,NOR,Norway,Government dependent private educational institutions,Full-time,Doctoral or equivalent level,2014,0.0
5177,NOR,Norway,Government dependent private educational institutions,Full-time,Doctoral or equivalent level,2015,1.0
5178,NOR,Norway,Government dependent private educational institutions,Full-time,Doctoral or equivalent level,2016,0.0
5179,NOR,Norway,Government dependent private educational institutions,Full-time,Doctoral or equivalent level,2017,0.0
5180,NOR,Norway,Government dependent private educational institutions,Full-time,Doctoral or equivalent level,2018,0.0
5181,NOR,Norway,Government dependent private educational institutions,Full-time,Doctoral or equivalent level,2019,0.0
5182,NOR,Norway,Independent private educational institutions,Full-time,Doctoral or equivalent level,2013,59.0
5183,NOR,Norway,Independent private educational institutions,Full-time,Doctoral or equivalent level,2014,0.0
5184,NOR,Norway,Independent private educational institutions,Full-time,Doctoral or equivalent level,2015,0.0
5185,NOR,Norway,Independent private educational institutions,Full-time,Doctoral or equivalent level,2016,0.0
5186,NOR,Norway,Independent private educational institutions,Full-time,Doctoral or equivalent level,2017,0.0
5187,NOR,Norway,Independent private educational institutions,Full-time,Doctoral or equivalent level,2018,0.0
5188,NOR,Norway,Independent private educational institutions,Full-time,Doctoral or equivalent level,2019,0.0
5189,NOR,Norway,Public educational institutions,Part-time,Doctoral or equivalent level,2013,7224.0
5190,NOR,Norway,Public educational institutions,Part-time,Doctoral or equivalent level,2014,7173.0
5191,NOR,Norway,Public educational institutions,Part-time,Doctoral or equivalent level,2015,7314.0
5192,NOR,Norway,Public educational institutions,Part-time,Doctoral or equivalent level,2016,7623.0
5193,NOR,Norway,Public educational institutions,Part-time,Doctoral or equivalent level,2017,8019.0
5194,NOR,Norway,Public educational institutions,Part-time,Doctoral or equivalent level,2018,8308.0
5195,NOR,Norway,Public educational institutions,Part-time,Doctoral or equivalent level,2019,8763.0
5196,NOR,Norway,Government dependent private educational institutions,Part-time,Doctoral or equivalent level,2013,77.0
5197,NOR,Norway,Government dependent private educational institutions,Part-time,Doctoral or equivalent level,2014,66.0
5198,NOR,Norway,Government dependent private educational institutions,Part-time,Doctoral or equivalent level,2015,60.0
5199,NOR,Norway,Government dependent private educational institutions,Part-time,Doctoral or equivalent level,2016,83.0
5200,NOR,Norway,Government dependent private educational institutions,Part-time,Doctoral or equivalent level,2017,83.0
5201,NOR,Norway,Government dependent private educational institutions,Part-time,Doctoral or equivalent level,2018,98.0
5202,NOR,Norway,Government dependent private educational institutions,Part-time,Doctoral or equivalent level,2019,106.0
5203,NOR,Norway,Independent private educational institutions,Part-time,Doctoral or equivalent level,2013,0.0
5204,NOR,Norway,Independent private educational institutions,Part-time,Doctoral or equivalent level,2014,81.0
5205,NOR,Norway,Independent private educational institutions,Part-time,Doctoral or equivalent level,2015,72.0
